              Config |     baseline |       hybrid |    fused_V12 |    fused_V10 |   hybrid fused_V12 fused_V10
---------------------------------------------------------------------------------------------------------------
     in=128 out=1024 |    18750.1/s |    18954.6/s |    19058.0/s |    18332.2/s |   1.011x   1.016x   0.978x
       in=512 out=64 |   188881.7/s |   197736.3/s |   196087.2/s |   188131.0/s |   1.047x   1.038x   0.996x
      in=512 out=512 |    39999.2/s |    40634.9/s |    40310.7/s |    38901.2/s |   1.016x   1.008x   0.973x
    in=1024 out=1024 |    26419.9/s |    26609.9/s |    26662.0/s |    25895.7/s |   1.007x   1.009x   0.980x
     in=2048 out=512 |    61506.3/s |    61937.8/s |    61818.3/s |    60317.1/s |   1.007x   1.005x   0.981x
    in=2048 out=2048 |    15585.3/s |    15746.3/s |    15874.6/s |    15539.1/s |   1.010x   1.019x   0.997x
     in=4096 out=512 |    72254.7/s |    72479.0/s |    72423.2/s |    71293.7/s |   1.003x   1.002x   0.987x
    in=4096 out=1024 |    35077.3/s |    35382.9/s |    35602.3/s |    35016.1/s |   1.009x   1.015x   0.998x
     in=8192 out=512 |    80202.7/s |    80382.2/s |    80534.4/s |    79853.0/s |   1.002x   1.004x   0.996x
    in=8192 out=1024 |    38923.3/s |    39187.9/s |    39408.0/s |    39017.9/s |   1.007x   1.012x   1.002x
    in=16384 out=512 |    86252.9/s |    86410.0/s |    86679.1/s |    86259.6/s |   1.002x   1.005x   1.000x
   in=16384 out=1024 |    41936.4/s |    42017.2/s |    42092.2/s |    41896.2/s |   1.002x   1.004x   0.999x

